address,suburb,postcode,sale_price,sale_date,property_type,bedrooms,bathrooms,car_spaces,land_size,building_size
123 Main St,Brisbane,4000,500000,2023-01-01,house,3,2,2,600,200
456 George St,Sydney,2000,1000000,2023-02-01,apartment,2,1,1,0,100
789 Park Ave,Melbourne,3000,800000,2023-03-01,vacant land,0,0,0,1000,0
321 Market Rd,Brisbane,4000,600000,2023-04-01,house,4,2,3,800,250
654 Oak Ave,Sydney,2000,900000,2023-05-01,land,0,0,0,1200,0
987 Pine St,Melbourne,3000,700000,2023-06-01,house,3,1,2,500,180
Unit 3/12 Smith St,Brisbane,4000,450000,2023-07-01,apartment,2,1,1,0,90
Apt 4, 15 Johnson Rd,Sydney,2000,850000,2023-08-01,apartment,3,2,2,0,120
5/20 Wilson Ave,Melbourne,3000,650000,2023-09-01,apartment,2,1,1,0,85
100 Queen St,Brisbane,4000,750000,2023-10-01,house,4,2,2,700,220
